REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (H1),A (Unable to Subtype),A (H3),2009 H1N1,A (Subtyping not Performed),B,H3N2v
National,X,2006,3,6255,14.1167066346922,4,0,285,0,565,29,0
National,X,2006,4,6732,15.7308377896613,4,0,308,0,714,33,0
National,X,2006,5,7029,16.6880068288519,6,0,314,0,779,74,0
National,X,2006,6,7226,17.9490727926931,9,0,321,0,825,142,0
National,X,2006,7,8105,19.5681677976558,17,0,372,0,1013,184,0
National,X,2006,8,7948,20.4453950679416,16,0,364,0,1003,242,0
National,X,2006,9,7978,22.5871145650539,29,0,435,0,942,396,0
National,X,2006,10,7819,22.4325361299399,54,0,411,0,881,408,0
National,X,2006,11,6995,19.7426733380986,40,0,276,0,624,441,0
National,X,2006,12,6444,18.4667908131595,79,0,181,0,498,432,0
National,X,2006,13,5424,17.9756637168142,63,0,134,0,340,438,0
National,X,2006,14,4459,13.5680645884728,38,0,53,0,202,312,0
National,X,2006,15,4032,11.359126984127,24,0,51,0,142,241,0
National,X,2006,16,3499,9.88853958273793,24,0,30,0,74,218,0
National,X,2006,17,2675,7.47663551401869,10,0,2,0,53,135,0
National,X,2006,18,2516,7.75039745627981,7,0,7,0,53,128,0
National,X,2006,19,2453,7.21565430085609,12,0,0,0,49,116,0
National,X,2006,20,2399,5.62734472696957,6,0,1,0,41,87,0
National,X,2006,21,2058,6.31681243926142,9,0,0,0,28,93,0
National,X,2006,22,1663,4.69031870114251,9,0,0,0,19,50,0
National,X,2006,23,1444,3.80886426592798,9,0,0,0,8,38,0
National,X,2006,24,1267,1.97316495659037,3,0,0,0,11,11,0
National,X,2006,25,1178,1.18845500848896,2,0,0,0,2,10,0
National,X,2006,26,1017,1.17994100294985,3,0,1,0,2,6,0
National,X,2006,27,907,0.882028665931643,2,0,0,0,4,2,0
National,X,2006,28,914,0.765864332603939,0,0,1,0,6,0,0
National,X,2006,29,917,1.19956379498364,0,0,0,0,9,2,0
National,X,2006,30,863,1.96987253765933,6,0,1,0,8,2,0
National,X,2006,31,943,2.12089077412513,3,0,0,0,16,1,0
National,X,2006,32,899,1.33481646273637,1,0,0,0,9,2,0
National,X,2006,33,862,1.39211136890951,3,0,0,0,7,2,0
National,X,2006,34,898,1.67037861915367,3,0,0,0,9,3,0
National,X,2006,35,907,1.87431091510474,5,0,0,0,8,4,0
National,X,2006,36,881,1.47559591373439,5,0,0,0,8,0,0
National,X,2006,37,1067,2.90534208059981,13,0,0,0,17,1,0
National,X,2006,38,996,3.5140562248996,22,0,0,0,11,2,0
National,X,2006,39,971,2.98661174047374,13,0,0,0,13,3,0
National,X,2006,40,2309,2.42529233434387,13,0,2,0,26,15,0
National,X,2006,41,2502,2.67785771382894,20,0,1,0,37,9,0
National,X,2006,42,2900,2.75862068965517,17,0,4,0,37,22,0
National,X,2006,43,3237,2.5949953660797,13,0,2,0,46,23,0
National,X,2006,44,3765,3.79814077025232,25,0,1,0,75,42,0
National,X,2006,45,4262,3.63679023932426,18,0,1,0,93,43,0
National,X,2006,46,4525,2.93922651933702,25,0,2,0,74,32,0
National,X,2006,47,4538,3.54781842221243,21,0,2,0,110,28,0
National,X,2006,48,5642,3.70436015597306,43,0,1,0,111,54,0
National,X,2006,49,5805,4.54780361757106,55,0,2,0,145,62,0
National,X,2006,50,6686,8.09153454980556,106,0,9,0,306,120,0
National,X,2006,51,7083,10.292249047014,194,0,10,0,392,133,0
National,X,2006,52,6777,10.3880773203482,201,0,14,0,366,123,0
National,X,2007,1,6711,6.97362539114886,128,0,14,0,240,86,0
National,X,2007,2,6430,9.23794712286159,180,0,35,0,293,86,0
National,X,2007,3,6200,11.5806451612903,174,0,44,0,420,80,0
National,X,2007,4,7200,18.1944444444444,310,0,86,0,760,154,0
National,X,2007,5,8261,22.3822781745551,367,0,107,0,1172,203,0
National,X,2007,6,8986,28.177164478077,497,0,133,0,1491,411,0
National,X,2007,7,9780,25.7975460122699,430,0,133,0,1544,416,0
National,X,2007,8,9947,23.7961194329949,297,0,156,0,1388,526,0
National,X,2007,9,8634,22.57354644429,201,0,192,0,1006,550,0
National,X,2007,10,7848,20.2471967380224,169,0,199,0,751,470,0
National,X,2007,11,6928,19.5294457274827,147,0,207,0,569,430,0
National,X,2007,12,6460,16.8730650154799,65,0,165,0,491,369,0
National,X,2007,13,5558,13.7639438646995,59,0,173,0,322,211,0
National,X,2007,14,4698,11.0259684972329,33,0,101,0,228,156,0
National,X,2007,15,4243,12.1376384633514,31,0,186,0,158,140,0
National,X,2007,16,3857,9.67072854550169,28,0,126,0,138,81,0
National,X,2007,17,3015,9.75124378109453,21,0,119,0,86,68,0
National,X,2007,18,3006,6.75316034597472,15,0,81,0,51,56,0
National,X,2007,19,2531,4.97826945871197,7,0,38,0,43,38,0
National,X,2007,20,2341,3.92994446817599,3,0,23,0,39,27,0
National,X,2007,21,1944,4.32098765432099,4,0,32,0,34,14,0
National,X,2007,22,1696,1.7688679245283,2,0,7,0,12,9,0
National,X,2007,23,1670,1.19760479041916,1,0,5,0,10,4,0
National,X,2007,24,1529,1.70045781556573,0,0,6,0,13,7,0
National,X,2007,25,1300,0.615384615384615,3,0,1,0,2,2,0
National,X,2007,26,1278,1.17370892018779,0,0,1,0,10,4,0
National,X,2007,27,1121,1.6057091882248,2,0,3,0,8,5,0
National,X,2007,28,1195,1.92468619246862,4,0,8,0,9,2,0
National,X,2007,29,1154,1.38648180242634,4,0,3,0,8,1,0
National,X,2007,30,1165,3.17596566523605,14,0,7,0,14,2,0
National,X,2007,31,1217,1.97206244864421,2,0,6,0,14,2,0
National,X,2007,32,1157,2.93863439930856,11,0,5,0,14,4,0
National,X,2007,33,1120,1.69642857142857,7,0,2,0,10,0,0
National,X,2007,34,1170,1.96581196581197,1,0,0,0,21,1,0
National,X,2007,35,1204,2.49169435215947,10,0,0,0,13,7,0
National,X,2007,36,1093,2.19579139981702,10,0,0,0,14,0,0
National,X,2007,37,1228,2.44299674267101,14,0,1,0,8,7,0
National,X,2007,38,954,3.14465408805031,11,0,1,0,15,3,0
National,X,2007,39,1052,1.90114068441065,3,0,1,0,16,0,0
National,X,2007,40,2381,1.84796304073919,17,0,2,0,20,5,0
National,X,2007,41,2534,1.73638516179953,19,0,3,0,22,0,0
National,X,2007,42,2953,1.62546562817474,16,0,2,0,28,2,0
National,X,2007,43,3179,1.57282164202579,16,0,2,0,27,5,0
National,X,2007,44,3575,2.06993006993007,10,0,0,0,53,11,0
National,X,2007,45,3797,2.23860942849618,17,0,10,0,47,11,0
National,X,2007,46,4131,2.10602759622367,24,0,6,0,55,2,0
National,X,2007,47,4040,3.46534653465347,35,0,2,0,90,13,0
National,X,2007,48,4855,3.31616889804325,49,0,12,0,86,14,0
National,X,2007,49,4909,3.66673456915869,35,0,10,0,113,22,0
National,X,2007,50,5157,4.16909055652511,50,0,22,0,117,26,0
National,X,2007,51,5877,5.34286200442403,68,0,28,0,167,51,0
National,X,2007,52,6269,7.14627532301802,77,0,26,0,259,86,0
National,X,2008,1,6829,8.55176453360668,98,0,61,0,318,107,0
National,X,2008,2,7383,13.5852634430448,166,0,145,0,529,163,0
National,X,2008,3,7814,16.8031737906322,196,0,205,0,703,209,0
National,X,2008,4,9474,22.714798395609,210,0,385,0,1215,342,0
National,X,2008,5,13459,28.4642246823687,243,0,627,0,2301,660,0
National,X,2008,6,15342,31.7494459653239,265,0,841,0,2835,930,0
National,X,2008,7,15171,31.8172829740953,202,0,837,0,2703,1085,0
National,X,2008,8,17359,30.3992165447318,189,0,975,0,2730,1383,0
National,X,2008,9,16097,27.6511151146176,121,0,823,0,2095,1412,0
National,X,2008,10,15181,23.6809169356432,73,0,630,0,1505,1387,0
National,X,2008,11,11648,22.0123626373626,69,0,484,0,916,1095,0
National,X,2008,12,9498,20.393767108865,43,0,395,0,596,903,0
National,X,2008,13,7800,17.7820512820513,13,0,178,0,419,777,0
National,X,2008,14,6183,14.5398673782953,12,0,110,0,266,511,0
National,X,2008,15,5285,11.7691579943236,6,0,56,0,144,416,0
National,X,2008,16,4103,8.50597124055569,0,0,32,0,83,234,0
National,X,2008,17,3556,5.37120359955006,5,0,11,0,44,131,0
National,X,2008,18,2724,4.62555066079295,1,0,9,0,37,79,0
National,X,2008,19,2539,2.5600630169358,0,0,10,0,12,43,0
National,X,2008,20,2414,1.57415078707539,0,0,4,0,14,20,0
National,X,2008,21,2115,1.37115839243499,1,0,4,0,9,15,0
National,X,2008,22,1927,0.985988583290088,0,0,2,0,7,10,0
National,X,2008,23,1850,0.918918918918919,0,0,1,0,11,5,0
National,X,2008,24,1502,0.798934753661784,0,0,0,0,5,7,0
National,X,2008,25,1467,0.477164280845262,0,0,2,0,3,2,0
National,X,2008,26,1325,0.452830188679245,0,0,0,0,0,6,0
National,X,2008,27,1203,0.332502078137988,0,0,0,0,1,3,0
National,X,2008,28,1269,0.472813238770686,1,0,1,0,0,4,0
National,X,2008,29,1203,0.332502078137988,0,0,0,0,2,2,0
National,X,2008,30,1163,0.859845227858985,1,0,5,0,4,0,0
National,X,2008,31,1125,0.622222222222222,0,0,1,0,2,4,0
National,X,2008,32,1102,0.635208711433757,1,0,0,0,5,1,0
National,X,2008,33,1053,0.0949667616334283,0,0,0,0,0,1,0
National,X,2008,34,1090,0.55045871559633,1,0,1,0,1,3,0
National,X,2008,35,1271,0.3933910306845,0,0,0,0,2,3,0
National,X,2008,36,1336,0.449101796407186,1,0,0,0,5,0,0
National,X,2008,37,1562,0.704225352112676,0,0,2,0,7,2,0
National,X,2008,38,1886,1.06044538706257,3,0,3,0,11,3,0
National,X,2008,39,2009,0.597312095569935,2,0,0,0,8,2,0
National,X,2008,40,2759,0.616165277274375,3,0,0,0,8,6,0
National,X,2008,41,2874,0.800278357689631,5,0,4,0,8,6,0
National,X,2008,42,2937,1.25978890023834,13,0,3,0,15,6,0
National,X,2008,43,3434,1.77635410599884,22,0,0,0,24,15,0
National,X,2008,44,3545,1.212976022567,13,0,3,0,21,6,0
National,X,2008,45,4154,1.70919595570534,33,0,3,0,23,12,0
National,X,2008,46,4418,1.40334993209597,25,0,2,0,23,12,0
National,X,2008,47,4739,1.7725258493353,25,0,1,0,32,26,0
National,X,2008,48,4836,2.25392886683209,40,0,1,0,48,20,0
National,X,2008,49,5598,2.26866738120757,45,0,6,0,58,18,0
National,X,2008,50,5989,3.15578560694607,68,0,10,0,69,42,0
National,X,2008,51,6301,4.33264561180765,81,0,19,0,113,60,0
National,X,2008,52,6031,4.72558448018571,70,0,14,0,156,45,0
National,X,2008,53,6592,5.5370145631068,119,0,19,0,177,50,0
National,X,2009,1,6981,8.43718664947715,176,0,35,0,299,79,0
National,X,2009,2,6995,10.8649035025018,207,0,25,0,425,103,0
National,X,2009,3,7943,16.0518695706912,364,0,51,0,670,190,0
National,X,2009,4,9484,20.7612821594264,563,0,81,0,944,381,0
National,X,2009,5,11707,23.9343982232852,678,0,55,0,1382,687,0
National,X,2009,6,12691,25.2698762902845,835,0,68,0,1357,947,0
National,X,2009,7,11741,24.8104931436845,844,1,73,0,1064,931,0
National,X,2009,8,11912,24.538280725319,707,0,58,0,1006,1152,0
National,X,2009,9,10970,24.3482224247949,549,0,69,0,885,1168,0
National,X,2009,10,9595,22.3762376237624,388,0,70,0,627,1062,0
National,X,2009,11,8628,20.5493741307371,358,0,63,0,433,919,0
National,X,2009,12,7343,16.7370284624813,268,0,45,0,285,631,0
National,X,2009,13,5778,13.828314295604,122,0,27,0,178,472,0
National,X,2009,14,5095,10.657507360157,102,1,35,0,129,276,0
National,X,2009,15,4674,7.18870346598203,39,1,29,0,82,185,0
National,X,2009,16,4219,7.67954491585684,43,4,37,14,113,113,0
National,X,2009,17,36203,12.4630555478828,702,195,935,1354,526,800,0
National,X,2009,18,34659,15.0235148157766,518,117,893,2484,709,486,0
National,X,2009,19,16820,18.0856123662307,155,88,298,1741,626,134,0
National,X,2009,20,15410,26.7878001297859,79,71,322,2796,767,93,0
National,X,2009,21,13483,33.4866127716384,34,27,304,3144,964,42,0
National,X,2009,22,13553,39.4820334981185,30,17,441,3967,872,24,0
National,X,2009,23,13762,41.6145909024851,29,18,268,4203,1194,15,0
National,X,2009,24,14264,43.0454290521593,15,22,221,4587,1286,9,0
National,X,2009,25,12117,36.1805727490303,9,33,76,3267,993,6,0
National,X,2009,26,10913,31.7786126637955,13,23,41,2637,747,7,0
National,X,2009,27,10713,32.0358443013162,1,12,45,2753,614,7,0
National,X,2009,28,9808,27.5387438825449,3,24,29,2123,519,3,0
National,X,2009,29,8646,27.1108026833218,4,17,16,1901,403,3,0
National,X,2009,30,9184,27.5587979094077,4,24,11,1990,498,4,0
National,X,2009,31,8424,23.670465337132,10,18,7,1471,486,2,0
National,X,2009,32,8572,22.5501633224452,9,8,8,1462,441,5,0
National,X,2009,33,10003,24.3626911926422,9,11,18,1905,493,1,0
National,X,2009,34,11636,22.0264695771743,12,16,15,1792,713,15,0
National,X,2009,35,13008,22.2862853628536,10,17,11,1798,1062,1,0
National,X,2009,36,14896,24.0064446831364,4,8,6,2132,1416,10,0
National,X,2009,37,16682,25.5904567797626,4,10,1,2456,1794,4,0
National,X,2009,38,16820,26.9916765755054,4,24,6,2614,1881,11,0
National,X,2009,39,15419,31.9800246449186,8,24,4,3456,1427,12,0
National,X,2009,40,23980,33.5362802335279,1,18,2,6178,1822,21,0
National,X,2009,41,29005,37.5762799517325,2,18,0,8858,2003,18,0
National,X,2009,42,31511,39.37989908286,4,27,5,10050,2291,32,0
National,X,2009,43,28104,35.5750071164247,1,39,2,7968,1971,17,0
National,X,2009,44,24986,30.9253181781798,5,21,2,6208,1467,24,0
National,X,2009,45,21788,27.6115292821737,2,21,2,4812,1165,14,0
National,X,2009,46,18493,19.6182339263505,1,21,0,2848,746,12,0
National,X,2009,47,13301,14.5628148259529,1,9,3,1474,445,5,0
National,X,2009,48,13134,10.7354956601188,1,9,0,1048,322,30,0
National,X,2009,49,11364,7.63815557902147,1,7,3,630,211,16,0
National,X,2009,50,10494,6.44177625309701,0,6,3,496,158,13,0
National,X,2009,51,8622,4.95244722802134,3,1,0,273,146,4,0
National,X,2009,52,9617,4.86638244774878,0,1,1,311,146,9,0
National,X,2010,1,9456,4.0080372250423,0,3,1,272,92,11,0
National,X,2010,2,8753,4.76408088655318,1,2,3,272,128,11,0
National,X,2010,3,8468,5.63297118564006,0,2,1,324,149,1,0
National,X,2010,4,8378,5.10861780854619,0,0,3,282,134,9,0
National,X,2010,5,8243,5.15588984592988,0,0,0,307,108,10,0
National,X,2010,6,8099,4.55611803926411,1,0,0,250,109,9,0
National,X,2010,7,8375,4.77611940298507,0,0,0,281,112,7,0
National,X,2010,8,8074,5.42482041119643,0,0,1,335,99,3,0
National,X,2010,9,7514,6.13521426670216,0,0,0,353,102,6,0
National,X,2010,10,7502,6.61157024793388,0,0,0,364,119,13,0
National,X,2010,11,6485,5.70547417116422,0,0,1,262,103,4,0
National,X,2010,12,5654,4.42164839051999,0,0,1,180,58,11,0
National,X,2010,13,5246,4.34616850934045,0,0,1,166,55,6,0
National,X,2010,14,4716,2.75657336726039,0,0,1,102,26,1,0
National,X,2010,15,4095,2.05128205128205,0,0,2,60,14,8,0
National,X,2010,16,3740,1.25668449197861,0,0,2,20,12,13,0
National,X,2010,17,3660,0.710382513661202,0,0,0,17,5,4,0
National,X,2010,18,3117,0.802053256336221,0,0,1,18,3,3,0
National,X,2010,19,2891,0.622621930127983,0,0,2,6,6,4,0
National,X,2010,20,2903,0.516706854977609,0,1,1,7,3,3,0
National,X,2010,21,2689,0.185942729639271,0,0,0,0,3,2,0
National,X,2010,22,2136,0.280898876404494,0,0,1,3,0,2,0
National,X,2010,23,2163,0.277392510402219,0,0,1,1,1,3,0
National,X,2010,24,2033,0.44269552385637,0,0,4,1,1,3,0
National,X,2010,25,1987,0.402617010568697,0,0,4,3,1,0,0
National,X,2010,26,1820,0.21978021978022,0,0,1,1,1,1,0
National,X,2010,27,1636,0.305623471882641,0,0,4,1,0,0,0
National,X,2010,28,1620,0.679012345679012,0,0,7,2,0,2,0
National,X,2010,29,1606,0.49813200498132,0,0,2,3,0,3,0
National,X,2010,30,1686,1.36417556346382,0,0,13,1,4,5,0
National,X,2010,31,1520,1.05263157894737,0,0,9,4,2,1,0
National,X,2010,32,1676,1.73031026252983,0,0,10,7,2,10,0
National,X,2010,33,1790,1.06145251396648,0,0,11,5,0,3,0
National,X,2010,34,1967,2.03355363497712,0,0,18,10,6,6,0
National,X,2010,35,2212,1.26582278481013,0,0,14,7,3,4,0
National,X,2010,36,2336,1.54109589041096,0,0,16,9,7,4,0
National,X,2010,37,2698,1.85322461082283,1,0,31,5,7,6,0
National,X,2010,38,2960,1.62162162162162,0,0,30,0,9,9,0
National,X,2010,39,2988,1.33868808567604,0,0,20,2,8,10,0
National,X,2010,40,3600,2.13888888888889,0,0,18,7,29,23,0
National,X,2010,41,4006,3.19520718921618,0,0,36,13,43,36,0
National,X,2010,42,4112,3.38035019455253,0,0,35,8,51,45,0
National,X,2010,43,4240,3.91509433962264,0,0,56,13,45,52,0
National,X,2010,44,4608,5.36024305555556,0,0,61,12,68,106,0
National,X,2010,45,5377,6.50920587688302,0,0,79,15,93,163,0
National,X,2010,46,5578,8.73072785944783,0,0,123,23,104,237,0
National,X,2010,47,5533,10.609072835713,0,0,155,11,156,265,0
National,X,2010,48,5975,9.99163179916318,0,0,176,35,126,260,0
National,X,2010,49,6361,13.2526332337683,0,0,359,48,126,310,0
National,X,2010,50,7692,18.8507540301612,0,0,551,83,274,542,0
National,X,2010,51,8172,25.0367107195301,0,0,789,112,456,689,0
National,X,2010,52,9030,26.2679955703212,0,0,1015,197,512,648,0
National,X,2011,1,10441,25.170002873288,0,0,1159,346,551,572,0
National,X,2011,2,10190,29.2836113837095,0,0,1216,557,626,585,0
National,X,2011,3,11067,33.5230866540164,0,0,1437,832,700,741,0
National,X,2011,4,12950,34.3397683397683,0,0,1524,1074,877,972,0
National,X,2011,5,13875,35.4018018018018,0,0,1481,1231,1073,1127,0
National,X,2011,6,14647,34.6623882023623,0,0,1488,1267,1145,1177,0
National,X,2011,7,16401,34.8515334430827,0,0,1570,1432,1360,1354,0
National,X,2011,8,15033,30.9785139360074,0,0,1235,1170,1048,1204,0
National,X,2011,9,12990,27.5057736720554,0,0,997,954,738,884,0
National,X,2011,10,11625,23.7935483870968,0,0,858,714,503,691,0
National,X,2011,11,9860,20.2839756592292,0,0,609,457,371,563,0
National,X,2011,12,8443,16.1198626080777,0,0,426,264,265,406,0
National,X,2011,13,7107,12.804277472914,0,0,283,168,166,293,0
National,X,2011,14,6481,9.81330041660238,0,0,208,87,87,254,0
National,X,2011,15,5615,7.12377560106857,0,0,141,46,54,159,0
National,X,2011,16,4642,4.41619991383025,0,0,60,30,29,86,0
National,X,2011,17,3976,3.34507042253521,0,0,28,10,32,63,0
National,X,2011,18,3611,1.91082802547771,0,0,23,11,10,25,0
National,X,2011,19,3271,1.10058086212168,0,0,11,2,8,15,0
National,X,2011,20,3079,0.844430009743423,0,0,6,3,4,13,0
National,X,2011,21,2705,0.66543438077634,0,0,4,3,6,5,0
National,X,2011,22,2442,0.532350532350532,0,0,0,2,5,6,0
National,X,2011,23,2259,0.265604249667995,0,0,0,0,2,4,0
National,X,2011,24,2109,0.42674253200569,0,0,1,2,6,0,0
National,X,2011,25,1967,0.25419420437214,0,0,0,0,2,3,0
National,X,2011,26,1560,0.256410256410256,0,0,0,2,1,1,0
National,X,2011,27,1498,0.333778371161549,0,0,1,2,1,1,0
National,X,2011,28,1500,0.6,0,0,4,0,1,4,0
National,X,2011,29,1500,0.666666666666667,0,0,4,0,1,5,0
National,X,2011,30,1307,0.306044376434583,0,0,1,0,2,1,0
National,X,2011,31,1428,0.7703081232493,0,0,2,3,3,3,0
National,X,2011,32,1433,0.907187718073971,0,0,3,1,7,2,0
National,X,2011,33,1506,1.06241699867198,0,1,5,2,5,3,0
National,X,2011,34,1705,0.997067448680352,0,0,5,0,6,6,0
National,X,2011,35,1925,0.779220779220779,0,0,3,2,9,1,0
National,X,2011,36,2056,0.632295719844358,0,0,3,1,7,2,0
National,X,2011,37,2326,0.902837489251935,0,0,6,0,11,4,0
National,X,2011,38,2612,0.803981623277182,0,0,5,0,8,8,0
National,X,2011,39,2920,1.1986301369863,0,0,18,1,10,6,0
National,X,2011,40,3192,1.03383458646617,0,0,14,3,7,9,0
National,X,2011,41,3316,0.572979493365501,0,0,9,0,2,8,0
National,X,2011,42,3425,0.817518248175182,0,0,10,2,8,8,0
National,X,2011,43,3749,1.17364630568152,0,0,12,0,20,12,0
National,X,2011,44,4075,0.957055214723926,0,0,17,1,12,9,0
National,X,2011,45,4326,1.13268608414239,0,0,15,2,17,15,0
National,X,2011,46,4580,0.960698689956332,0,0,15,0,17,12,0
National,X,2011,47,4108,1.82570593962999,0,0,23,3,30,19,0
National,X,2011,48,4669,1.54208609980724,0,0,32,2,21,17,0
National,X,2011,49,4710,2.29299363057325,0,0,38,5,45,20,0
National,X,2011,50,4906,2.71096616388096,0,0,78,4,31,20,0
National,X,2011,51,5151,3.82450009706853,0,0,104,7,62,24,0
National,X,2011,52,5470,3.327239488117,0,0,107,4,53,18,0
National,X,2012,1,5690,3.21616871704745,0,0,101,16,44,22,0
National,X,2012,2,5341,4.39992510765774,0,0,142,31,47,15,0
National,X,2012,3,5364,5.96569724086503,0,0,195,50,57,18,0
National,X,2012,4,5840,8.09931506849315,0,0,257,84,100,32,0
National,X,2012,5,6251,10.8782594784834,0,0,365,128,144,43,0
National,X,2012,6,6413,12.6150007796663,0,0,419,167,167,56,0
National,X,2012,7,7298,14.8396821046862,0,0,508,233,271,71,0
National,X,2012,8,7596,18.9968404423381,0,0,690,319,356,78,0
National,X,2012,9,8485,23.8185032410136,0,0,988,488,433,112,0
National,X,2012,10,8459,28.1830003546518,0,0,1232,538,491,123,0
National,X,2012,11,8822,30.7186579007028,0,0,1396,599,516,199,0
National,X,2012,12,7974,27.5269626285428,0,0,1086,445,427,237,0
National,X,2012,13,7450,21.5570469798658,0,0,719,311,332,244,0
National,X,2012,14,6695,22.0761762509335,0,0,629,266,308,275,0
National,X,2012,15,6304,20.4473350253807,0,0,591,188,212,298,0
National,X,2012,16,5689,20.636315696959,0,0,540,119,201,314,0
National,X,2012,17,4980,17.2690763052209,0,0,361,74,151,274,0
National,X,2012,18,4522,15.9885006634233,0,0,299,53,119,252,0
National,X,2012,19,4061,15.1686776655996,0,0,229,33,88,266,0
National,X,2012,20,3811,13.329834689058,0,0,162,23,69,254,0
National,X,2012,21,3729,11.1558058460713,0,0,76,11,69,260,0
National,X,2012,22,3347,10.9052883178966,0,0,78,3,56,228,0
National,X,2012,23,3055,9.59083469721768,0,0,45,7,44,197,0
National,X,2012,24,2898,9.97239475500345,0,0,52,2,56,179,0
National,X,2012,25,2529,6.76156583629893,0,0,36,2,30,103,0
National,X,2012,26,2255,6.74057649667406,0,0,17,0,22,113,0
National,X,2012,27,1970,4.72081218274112,0,0,15,1,18,59,0
National,X,2012,28,2052,4.58089668615984,0,0,33,4,15,41,1
National,X,2012,29,2100,3.66666666666667,0,0,18,0,11,48,0
National,X,2012,30,2048,5.126953125,0,0,49,2,13,32,9
National,X,2012,31,2161,9.48634891254049,0,0,65,1,11,33,95
National,X,2012,32,2294,7.54141238012206,0,0,62,1,12,25,73
National,X,2012,33,2501,6.71731307477009,0,0,69,6,14,27,52
National,X,2012,34,2705,4.17744916820702,0,0,48,6,21,23,15
National,X,2012,35,2746,3.05899490167516,0,0,37,1,15,19,12
National,X,2012,36,2914,3.05422100205903,0,0,34,1,17,32,5
National,X,2012,37,3280,2.22560975609756,0,0,16,0,11,44,2
National,X,2012,38,3501,3.08483290488432,0,0,43,5,18,42,0
National,X,2012,39,3649,3.59002466429159,0,0,42,7,18,64,0
National,X,2012,40,4513,3.78905384444937,0,0,73,9,11,78,0
National,X,2012,41,4914,3.92755392755393,0,0,67,7,24,95,0
National,X,2012,42,5249,5.81063059630406,0,0,131,4,48,122,0
National,X,2012,43,5306,6.55861289106672,0,0,152,3,52,141,0
National,X,2012,44,5406,7.86163522012579,0,0,188,4,79,154,0
National,X,2012,45,6446,9.75798945082222,0,0,277,5,116,231,0
National,X,2012,46,6721,13.3611069781283,0,0,404,8,217,267,2
National,X,2012,47,7433,18.4178662720301,0,0,591,7,407,364,0
National,X,2012,48,9333,22.3829422479374,0,0,1022,19,545,503,0
National,X,2012,49,12060,29.2039800995025,0,0,1787,39,1003,693,0
National,X,2012,50,14711,32.6082523281898,0,0,2662,53,1226,856,0
National,X,2012,51,16904,37.4526739233318,0,0,3703,55,1419,1154,0
National,X,2012,52,18139,37.8741937262253,0,0,3825,88,1758,1199,0
National,X,2013,1,19673,35.2971077110761,0,0,3723,95,1980,1146,0
National,X,2013,2,22224,34.2062634989201,0,0,4073,126,2166,1237,0
National,X,2013,3,20931,30.5432134155081,0,0,3232,127,1892,1142,0
National,X,2013,4,18668,29.5746732376259,0,0,2527,145,1660,1189,0
National,X,2013,5,16228,26.5220606359379,0,0,1952,143,1051,1158,0
National,X,2013,6,14491,22.7313504934097,0,0,1205,121,780,1188,0
National,X,2013,7,12691,20.8809392482862,0,0,844,78,534,1194,0
National,X,2013,8,11354,20.0369913686806,0,0,575,78,397,1225,0
National,X,2013,9,10504,18.7261995430312,0,0,417,60,309,1181,0
National,X,2013,10,10165,17.9144121987211,0,0,330,70,217,1204,0
National,X,2013,11,9559,16.9159953970081,0,0,212,49,201,1155,0
National,X,2013,12,8647,15.9130334219961,0,0,179,36,144,1017,0
National,X,2013,13,7722,14.4522144522145,0,0,124,41,98,853,0
National,X,2013,14,6782,13.9339427897375,0,0,121,30,107,687,0
National,X,2013,15,6198,10.8260729267506,0,0,69,48,65,489,0
National,X,2013,16,5575,8.75336322869955,0,0,79,30,47,332,0
National,X,2013,17,5095,7.67419038272817,0,0,60,34,48,249,0
National,X,2013,18,4919,6.5867046147591,0,0,55,18,29,222,0
National,X,2013,19,4473,5.41023921305611,0,0,36,13,27,166,0
National,X,2013,20,4102,4.46123842028279,0,0,24,11,22,126,0
National,X,2013,21,4097,4.36905052477422,0,0,21,15,20,123,0
National,X,2013,22,3587,4.20964594368553,0,0,14,14,28,95,0
National,X,2013,23,3576,3.85906040268456,0,0,13,14,29,82,0
National,X,2013,24,3254,3.93362015980332,0,0,12,21,32,63,0
National,X,2013,25,3227,3.99752091726061,0,0,12,29,31,55,2
National,X,2013,26,2999,3.23441147049016,0,0,5,34,24,28,6
National,X,2013,27,2579,3.2570763861962,0,0,14,17,24,25,4
National,X,2013,28,2653,3.76931775348662,0,0,30,23,33,14,0
National,X,2013,29,2504,2.95527156549521,0,0,13,21,25,14,1
National,X,2013,30,2316,2.93609671848014,0,0,11,20,26,10,1
National,X,2013,31,2549,3.49156531973323,0,0,14,23,30,20,2
National,X,2013,32,2494,3.12750601443464,0,0,11,28,27,12,0
National,X,2013,33,2304,2.77777777777778,0,0,3,16,33,12,0
National,X,2013,34,2560,2.34375,0,0,4,12,40,3,1
National,X,2013,35,3006,4.09181636726547,0,0,4,42,66,10,1
National,X,2013,36,3148,3.65311308767471,0,0,6,25,71,13,0
National,X,2013,37,3602,3.3870072182121,0,0,7,49,59,7,0
National,X,2013,38,3888,3.18930041152263,0,0,8,38,56,22,0
National,X,2013,39,4596,4.0905134899913,0,0,11,55,102,20,0
National,X,2013,40,4911,3.95031561800041,0,0,13,69,83,28,1
National,X,2013,41,5808,3.94283746556474,0,0,24,57,116,32,0
National,X,2013,42,5801,3.18910532666782,0,0,16,49,94,26,0
National,X,2013,43,5886,3.53380903839619,0,0,21,73,100,14,0
